# SPDX-License-Identifier: AGPL-3.0-or-later
# Append-only Dissonance autoresearch ledger. Raw artifacts live under the evaluator artifact root.
round	experiment	parent	candidate	evaluator	status	primary	secondary	complexity	description
setup	START	094a15daa3c1618e8fc0605d8e89403663f162b9	094a15daa3c1618e8fc0605d8e89403663f162b9	smb-v0001-094a15da-batch3	ACTIVE	fresh evaluator and artifact root	ROM 0b3d9e1f01ed1668205bab34d6c82b0e281456e137352e4f36a9b2cfa3b66dea; core a6b0876d999a97c518fff3ffd6a60752497a2699160e78ef2b1370787d497eda	0	Approved start condition; SMB-only batch; primary host ms02; no prior fixtures, baselines, or run artifacts reused.
setup	E00	094a15daa3c1618e8fc0605d8e89403663f162b9	094a15daa3c1618e8fc0605d8e89403663f162b9	smb-v0001-094a15da-batch3	ACTIVE	30K at 12 workers plus exact replay	same-host micro replay; cross-host smoke N/A for single-host fleet	0	Certify deterministic evaluation before E07.
systems	SYS00	094a15daa3c1618e8fc0605d8e89403663f162b9	094a15daa3c1618e8fc0605d8e89403663f162b9	smb-v0001-094a15da-batch3	QUEUED	noise floor and minimum detectable effect	2,000,000-execution endurance; memory plateau; B4 recalibration	0	Systems lane first actions on exclusive ms02.
setup	E00-PREFLIGHT-1	094a15daa3c1618e8fc0605d8e89403663f162b9	094a15daa3c1618e8fc0605d8e89403663f162b9	smb-v0001-094a15da-batch3	INVALID	no campaign invoked	isolated source initially omitted pinned Rust 1.97.0 context; /usr/bin/time absent	0	Setup-only failures preserved; source passed 105 tests; rerun used repository-pinned toolchain and removed the observation-only RSS wrapper.
setup	E00	094a15daa3c1618e8fc0605d8e89403663f162b9	094a15daa3c1618e8fc0605d8e89403663f162b9	smb-v0001-094a15da-batch3	PROMOTE	30000 executions; 2020.257184 exec/s; stream 3ab546755e80b46cbb3c1f05074bfd03f73dbdb1cc4f28e20751675bad9f73a5	replay pass; archive d899b139763e913bc1485e136640a9af84a2681be1be65fcfa38e2a5abd2d695; micro replay pass; cross-host N/A	0	Current 094a15da searcher certified as initial champion on ms02 at 12 workers; release binary 134b41451f490bd4985a8d588af0c5fbfd7fbcae78ac3ff185903430385edec6.
e07	E07-CANARY-5K	094a15daa3c1618e8fc0605d8e89403663f162b9	094a15daa3c1618e8fc0605d8e89403663f162b9	smb-v0001-094a15da-batch3	REJECT	0 completions at 5000 executions; progress 160	2561.676740 exec/s; stream 32ef429e8dc9c986e0c5c6e945f72ea709972ab13c069bc4d3bb71260e86e5ed	0	Champion fails the proposed canary veto, so E00 recalibrates the canary once to 15000 before the first challenger; failed baseline retained.
e07	E07-CANARY-15K	094a15daa3c1618e8fc0605d8e89403663f162b9	094a15daa3c1618e8fc0605d8e89403663f162b9	smb-v0001-094a15da-batch3	PROMOTE	16 completions; first stop at 10507 of 15000 executions	2414.627977 exec/s; stream 501ed35b8658103eb8fb36df5b9b10f042f37a61510e7e570ab974093fa485e0	0	Fresh 1-1 fixture checkpoint 8a81c0cc9a26104b6ede6985d637a2bb2ca250d1081344a903d8179e7b27cafc; recalibrated canary veto passes champion.
e07	E07-2-2	094a15daa3c1618e8fc0605d8e89403663f162b9	094a15daa3c1618e8fc0605d8e89403663f162b9	smb-v0001-094a15da-batch3	INCONCLUSIVE	0 completions at 30000 executions; progress 65	fixture replay pass; checkpoint 8faf46cdd2259902efcc336b267baa3844b951a96edf3b94d11a7211de057f47; stream a6f9f91b57b4998e1c01a68c082d15a4c5eb2c12cc080e7b2799c34010285b75	0	Fresh natural chain certified 2-2; required 12-worker baseline recorded honestly as a non-completion.
e07	E07-CONTINUATION-2-2	094a15daa3c1618e8fc0605d8e89403663f162b9	094a15daa3c1618e8fc0605d8e89403663f162b9	smb-v0001-094a15da-batch3	REJECT	100000 executions; no level transition; progress 134	1352.978763 exec/s; stream bd78768b3c80111d23247efbeddac115c9b252df811d9e055fc5ea01cc537608	0	Fixed fixture-production ceiling exhausted; not rerun with a larger budget.
e07	E07-ROUTE-SOURCES	094a15daa3c1618e8fc0605d8e89403663f162b9	094a15daa3c1618e8fc0605d8e89403663f162b9	smb-v0001-094a15da-batch3	INVALID	later-level fixtures not captured	retired-prefix replay died before endpoint; checksum-matched FM2 95f697d145c0b2e37307fb56eebef4d75db257ca48090205b40ee9342dd5ebe5 failed under QuickNES power-on	2 evaluator-only binaries; 1 converter	No old checkpoint or baseline accepted. Public route input matched the supplied headerless ROM MD5 but did not reach requested levels on the pinned backend.
e07	E07	094a15daa3c1618e8fc0605d8e89403663f162b9	094a15daa3c1618e8fc0605d8e89403663f162b9	smb-v0001-094a15da-batch3	INCONCLUSIVE	1 canary and 1 of 7 hard fixtures certified	4-2, 4-3, 7-2, 7-4, 8-1, 8-4 remain queued	2 evaluator-only binaries; 1 converter	Rounds remain closed because section 14 requires at least three hard challenges; program continues with independent systems work and queues fixture generation.
systems	SYS00-NOISE	094a15daa3c1618e8fc0605d8e89403663f162b9	094a15daa3c1618e8fc0605d8e89403663f162b9	smb-v0001-094a15da-batch3	PROMOTE	mean 4105.792435 exec/s; CV 2.2544%	MDE 3.6445% for equal six-run arms at 95% confidence and 80% power; warm-up discarded; seeded randomized order	0	Identical champion binary measured twelve times at 24 workers with performance governor on exclusive ms02.
systems	SYS01-CERTIFY	094a15daa3c1618e8fc0605d8e89403663f162b9	094a15daa3c1618e8fc0605d8e89403663f162b9	smb-v0001-094a15da-batch3	REJECT	2000000 executions; 3641.793556 exec/s; endurance 1.446689	peak RSS 2880004 KiB exceeds 2097152 KiB bound; no swap configured; stream cdf63fb4bcbf3afff0ef2f6eab18a3ad08681c9e6fea85f05ad22489e9e815e4	0	Throughput endurance passes the 0.90 veto, but memory certification fails; champion is not systems-certified.
systems	SYS02-B4	094a15daa3c1618e8fc0605d8e89403663f162b9	094a15daa3c1618e8fc0605d8e89403663f162b9	smb-v0001-094a15da-batch3	REJECT	provisional 45-minute conversion 9832842 executions	adopted B4 budget remains 110000	0	Charter permits B4 recalibration only from a systems-certified champion; memory veto prevents adoption despite completed throughput measurement.
e07	E07-TITLE-ENTRY	094a15daa3c1618e8fc0605d8e89403663f162b9	094a15daa3c1618e8fc0605d8e89403663f162b9	smb-v0001-094a15da-batch3	PROMOTE	6 natural level-entry snapshots duplicate-replayed on pinned QuickNES	4-2 7eaf8e1d9203be7901422f481005c40f08257a4e0021d4d78fc9decfac0e1d57; 4-3 63d60638a4ca985f675535de44f71d83363e648120ee743e8f3ad125490c56ce; 7-2 36705547eac66814d58f461c2d90b1ce8bbfe6d35ee8e496546add55fce245c3; 7-4 79dbfee259be7fbc4ea0d64363fa2b3ea276644c0bb7e4f24495c1d10de46d4d; 8-1 3dfa514554edd02420777a4e1c65e65b7a6b823968b077c3773d198fcb33a976; 8-4 799769f5aa0c6b282a033bf3be8f3bc7752c50db32042beff2a2b0082d9c6922	3 evaluator-only binaries; 5 converters/trace tools	Hashed evaluator prefixes alter only pre-Start title metadata; the unmodified ROM then runs LoadAreaPointer and normal level initialization before frame-360 capture. Duplicate replay produced bit-identical checkpoints.
e07	E07-BASELINES	094a15daa3c1618e8fc0605d8e89403663f162b9	094a15daa3c1618e8fc0605d8e89403663f162b9	smb-v0001-094a15da-batch3	PROMOTE	all 7 hard 12-worker baselines recorded at 30K	2-2 progress 65 stream a6f9f91b57b4998e1c01a68c082d15a4c5eb2c12cc080e7b2799c34010285b75; 4-2 172 d06b70e59f2a0cd030e46f1a3aa75449bb18827bece6ce238872e03d14f2c2e4; 4-3 174 066f3e2cbfd96f8f5275b0db0092eef66225148e174ac6df59a9eb1501faafa3; 7-2 65 e7ffd5a1f21fef623fe9aa87c9996b2b7baab2af273ab434947d3a9d26499707	0	7-4 stopped at 26822 with 11 victories, stream c8b61244881045fddac95e80b322b1bf7e26c7bafb5369df8900c06b2bcad1c2; 8-1 progress 220 stream 7e3511a9878cf5e84bf30a76d035931cd0fc13e549cde56b261e38c17a604b0d; 8-4 progress 152 stream 6cdc8fd5b73f595d6fb8f8019660204efbb7be85524100c1643dea3f9e174d99.
